"state","mmm_code","org_type_simple","total_places","avg_lat","avg_lon"
"VIC","2","Government",713928,-37.431170867963,144.481635089259
"VIC","2","Not-for-profit",1338024,-37.431170867963,144.481635089259
"VIC","2","Private",1451496,-37.431170867963,144.481635089259
"VIC","3","Government",594638,-36.8509560177551,144.681087388163
"VIC","3","Not-for-profit",1114454,-36.8509560177551,144.681087388163
"VIC","3","Private",1208966,-36.8509560177551,144.681087388163
"VIC","4","Government",645676,-37.4192800760937,145.098963897188
"VIC","4","Not-for-profit",1210108,-37.4192800760938,145.098963897188
"VIC","4","Private",1312732,-37.4192800760937,145.098963897188
"VIC","5","Government",551150,-37.0713348266372,144.090217628142
"VIC","5","Not-for-profit",1032950,-37.0713348266372,144.090217628142
"VIC","5","Private",1120550,-37.0713348266372,144.090217628142
"VIC","6","Government",3020,-35.903416275,141.99500702
"VIC","6","Not-for-profit",5660,-35.903416275,141.99500702
"VIC","6","Private",6140,-35.903416275,141.99500702
"WA","1","Government",34634,-32.0014726344054,115.854370337414
"WA","1","Not-for-profit",2666818,-32.0014726344054,115.854370337414
"WA","1","Private",1610481,-32.0014726344054,115.854370337414
"WA","2","Government",1270,-33.3475792485714,115.64656269
"WA","2","Not-for-profit",97790,-33.3475792485714,115.64656269
"WA","2","Private",59055,-33.3475792485714,115.64656269
"WA","3","Government",2556,-32.6974647475,117.2848599925
"WA","3","Not-for-profit",196812,-32.6974647475,117.2848599925
"WA","3","Private",118854,-32.6974647475,117.2848599925
"WA","4","Government",376,-32.6530245125,116.145726735
"WA","4","Not-for-profit",28952,-32.6530245125,116.145726735
"WA","4","Private",17484,-32.6530245125,116.145726735
"WA","5","Government",1068,-33.1810738107143,116.708989922857
"WA","5","Not-for-profit",82236,-33.1810738107143,116.708989922857
"WA","5","Private",49662,-33.1810738107143,116.708989922857
"WA","6","Government",490,-23.253786355,119.9648523825
"WA","6","Not-for-profit",37730,-23.253786355,119.9648523825
"WA","6","Private",22785,-23.253786355,119.9648523825
"WA","7","Government",222,-17.0892555,126.679277333333
"WA","7","Not-for-profit",17094,-17.0892555,126.679277333333
"WA","7","Private",10323,-17.0892555,126.679277333333
